"last_name","last_name_frequency"
"Baba","226"
"Coorg","223"
"Gelosh","223"
"Farris","222"
"Sudbeck","222"
"Adachi","221"
"Osgood","220"
"Mandell","218"
"Neiman","218"
"Masada","218"
"Boudaillier","217"
"Wendorf","217"
"Pettis","216"
"Mahnke","216"
"Cummings","216"
"Solares","216"
"Emmart","215"
"Birjandi","215"
"Collette","215"
"Maksimenko","215"
"Kulisch","215"
"Pokrovskii","214"
"Boguraev","214"
"Scallan","214"
"Rosaz","214"
"Morrey","213"
"Stifter","213"
"Wolniewicz","213"
"Siksek","213"
"Swen","212"
"Herber","212"
"Rajcani","212"
"Pramanik","212"
"Rabehasaina","212"
"Garrabrants","212"
"Taubman","212"
"Siepmann","212"
"Peek","212"
"Kitsuregawa","211"
"Gente","211"
"Barriga","211"
"Ventosa","211"
"Asser","211"
"Cangellaris","211"
"Ghemri","211"
"Kamber","211"
"Redmiles","210"
"Driscoll","210"
"Luce","210"
"Bolsens","210"
"Schaaf","210"
"Flowers","209"
"Chenney","209"
"Zuberek","209"
"Gerlach","209"
"Khasidashvili","209"
"Gewali","209"
"Lunt","209"
"Lamparter","209"
"Malabarba","209"
"Serra","209"
"Jenevein","208"
"Aloia","208"
"Gecsei","208"
"Lowrie","208"
"Cesareni","208"
"Panienski","208"
"Akazan","207"
"Lamba","207"
"Garnier","207"
"Angelopoulos","207"
"Foote","206"
"Gaughan","206"
"Bondorf","206"
"Braunmuhl","206"
"Perng","206"
"Hebert","206"
"Duclos","206"
"Chimia","206"
"Garnham","205"
"Siprelle","205"
"Bennet","205"
"Matzov","205"
"Encarnacion","205"
"Panangaden","205"
"Ponthieu","205"
"Marakhovsky","205"
"Ecklund","205"
"Shimshoni","205"
"Emden","205"
"Lanphier","205"
"Geffroy","205"
"DeMori","205"
"Aamodt","205"
"Onuegbe","205"
"Legleitner","204"
"Shrader","204"
"Malinowski","204"
"Swick","204"
"Luders","204"
"Shiratori","204"
"Coors","204"
"Linares","204"
"Desikan","204"
"Argence","204"
"Alpin","204"
"Whitcomb","204"
"Riexinger","204"
"Feinberg","203"
"Ramsay","203"
